Date,Open,High,Low,Close,Volume,Adj Close
2016-02-11,18.350000,18.650000,17.770000,18.370001,160408900,18.370001
2016-01-22,12.730000,13.170000,12.690000,13.030000,29815700,13.030000
2016-01-21,12.700000,12.980000,12.450000,12.910000,30768000,12.910000
2016-01-20,12.780000,12.920000,12.520000,12.850000,57294700,12.850000
2016-01-19,13.210000,13.240000,12.400000,12.470000,76281200,12.470000
2016-01-04,14.120000,14.240000,13.870000,14.090000,53710100,14.090000
2015-12-31,13.660000,13.750000,13.600000,13.720000,27523300,13.720000
2015-11-23,13.350000,13.480000,13.250000,13.330000,26679900,13.216636
2015-11-18,13.150000,13.580000,12.920000,13.490000,69238200,13.375276
2015-11-17,13.620000,13.660000,13.050000,13.080000,70962600,12.968762
2015-11-16,13.740000,13.860000,13.630000,13.740000,24226200,13.623149
2015-10-16,16.840000,16.990000,16.370001,16.389999,65976600,16.250612
2015-10-15,16.610001,17.040001,16.480000,16.889999,46677600,16.746361
2015-10-14,16.240000,16.990000,16.170000,16.900000,126780700,16.756275
2015-10-01,13.790000,13.990000,13.350000,13.410000,54110100,13.295956
2015-09-30,13.220000,13.740000,13.190000,13.740000,41340700,13.623149
2015-09-11,13.000000,13.280000,12.620000,13.210000,63781500,13.097657
2015-08-26,13.480000,13.490000,12.960000,13.040000,97910100,12.929103
2015-07-20,14.700000,14.770000,13.750000,13.760000,169146000,13.642980
2015-07-09,17.129999,17.190001,16.770000,16.930000,14404800,16.786020
2015-07-06,17.500000,18.030001,17.389999,17.850000,34573800,17.698196
2015-07-01,17.680000,17.709999,17.260000,17.280001,35526400,17.133045
2015-06-30,17.830000,18.049999,17.670000,17.760000,32479300,17.608961
2015-06-24,18.299999,18.480000,18.250000,18.360001,14923600,18.203859
2015-05-14,20.990000,21.250000,20.709999,20.820000,49156300,20.642939
2015-04-01,18.540001,19.250000,18.459999,19.209999,82601100,19.046631
2015-03-31,18.540001,18.639999,18.160000,18.240000,34256400,18.084881
