Date,Open,High,Low,Close,Volume,Adj Close
2016-02-11,13.640000,15.200000,13.560000,14.950000,75525600,14.950000
2016-01-29,13.470000,13.880000,13.100000,13.590000,98635300,13.590000
2015-12-31,13.520000,13.940000,13.040000,13.190000,128366000,13.190000
2015-11-30,14.660000,14.750000,13.360000,13.440000,93730300,13.440000
2015-10-30,13.980000,15.600000,13.830000,14.800000,131119300,14.800000
2015-09-30,13.990000,14.620000,13.640000,13.870000,95882500,13.870000
2015-08-31,14.050000,14.920000,13.350000,13.990000,129673300,13.990000
2015-07-31,14.910000,15.150000,13.730000,14.080000,151674800,14.080000
2015-06-30,16.240000,16.420000,14.800000,15.030000,142252900,15.030000
2015-05-29,15.350000,16.959999,15.250000,15.990000,114704800,15.990000
2015-04-30,16.000000,16.570000,14.930000,15.430000,126907200,15.430000
2015-03-31,15.860000,16.410000,14.630000,15.930000,145423200,15.930000
2015-02-27,16.400000,16.920000,15.400000,15.870000,133243600,15.870000
2015-01-30,14.960000,17.690001,14.890000,16.540001,192110500,16.540001
2014-12-31,15.260000,16.490000,14.870000,15.060000,200868200,15.060000
2014-11-28,15.410000,16.000000,14.640000,14.830000,183541800,14.830000
2014-10-31,16.450001,17.090000,15.210000,15.500000,168777900,15.500000
2014-09-30,18.450001,18.580000,16.180000,16.350000,176439000,16.350000
2014-08-29,19.680000,19.719999,18.540001,18.709999,108158800,18.709999
2014-07-31,20.309999,20.639999,19.500000,19.580000,131319100,19.580000
2014-06-30,18.059999,20.330000,17.980000,20.250000,141678700,20.250000
2014-05-30,18.200001,19.080000,17.910000,18.080000,116184500,18.080000
2014-04-30,19.010000,19.450001,18.320000,18.459999,126263800,18.459999
2014-03-31,20.670000,20.920000,18.870001,19.040001,141228400,19.040001
2014-02-28,18.620001,21.299999,18.580000,20.350000,168636500,20.350000
2014-01-31,19.350000,19.840000,18.389999,18.450001,170797900,18.450001
2013-12-31,18.889999,19.690001,18.260000,18.709999,185724900,18.709999
2013-11-29,21.090000,21.150000,18.920000,19.240000,121610000,19.240000
2013-10-31,20.180000,22.230000,19.879999,21.100000,195985400,21.100000
2013-09-30,23.570000,23.580000,20.450001,20.900000,208729900,20.900000
2013-08-30,19.090000,23.840000,18.719999,22.600000,265742000,22.600000
2013-07-31,18.980000,19.889999,18.059999,19.139999,183039500,19.139999
2013-06-28,21.670000,22.190001,17.750000,18.969999,284761500,18.969999
2013-05-31,22.690001,23.570000,20.809999,21.440001,321749100,21.440001
2013-04-30,27.080000,27.150000,21.959999,23.459999,333009400,23.459999
2013-03-28,27.670000,28.389999,27.170000,27.420000,138594400,27.420000
2013-02-28,31.020000,31.049999,27.350000,27.540001,228536200,27.540001
2013-01-31,30.379999,31.410000,28.610001,30.440001,246233200,30.440001
2012-12-31,32.520000,32.770000,28.650000,29.370001,231934100,29.370001
2012-11-30,31.500000,33.310001,29.840000,32.360001,228978800,32.360001
2012-10-31,33.759998,34.080002,30.530001,31.270000,217143300,31.270000
2012-09-28,31.190001,34.049999,30.980000,33.480000,308738200,33.480000
2012-08-31,26.450001,30.799999,26.129999,30.790001,234258000,30.790001
2012-07-31,26.660000,27.600000,25.730000,27.120001,184067300,27.120001
2012-06-29,27.469999,29.020000,25.340000,26.650000,273420500,26.650000
2012-05-31,30.360001,30.440001,25.990000,26.959999,314585100,26.959999
2012-04-30,31.530001,32.340000,29.090000,30.110001,268026400,30.110001
2012-03-30,33.740002,34.639999,30.209999,31.379999,423295200,31.379999
2012-02-29,32.970001,36.439999,31.820000,33.549999,438775400,33.549999
2012-01-31,27.969999,33.099998,27.830000,32.279999,369915100,32.279999
2011-12-30,32.139999,32.529999,25.650000,26.940001,384206800,26.940001
2011-11-30,31.700001,34.389999,29.830000,32.000000,400005100,32.000000
2011-10-31,29.990000,34.439999,27.900000,33.439999,515412100,33.439999
2011-09-30,40.400002,42.299999,27.410000,28.910000,751445400,28.910000
2011-08-31,38.270000,42.779999,36.040001,40.450001,961607800,40.450001
2011-07-29,33.060001,40.349998,32.610001,38.849998,738899100,38.849998
2011-06-30,37.049999,37.500000,32.529999,33.840000,714105600,33.840000
2011-05-31,44.099998,46.230000,31.969999,37.599998,2331690300,37.599998
2011-04-29,36.400002,48.349998,36.180000,46.880001,1532097400,46.880001
2011-03-31,33.580002,37.259998,33.009998,36.770000,725077900,36.770000
2011-02-28,27.709999,33.200001,27.230000,33.110001,513252800,33.110001
2011-01-31,30.290001,30.440001,26.030001,27.389999,551726700,27.389999
2010-12-31,27.780001,30.250000,27.340000,30.180000,610205200,30.180000
2010-11-30,24.350000,28.719999,23.410000,27.440001,799564700,27.440001
2010-10-29,21.520000,24.170000,21.420000,24.170000,381994300,24.170000
2010-09-30,18.959999,21.570000,18.879999,21.309999,237947700,21.309999
2010-08-31,18.020000,19.000000,17.430000,18.930000,153057000,18.930000
2010-07-30,18.059999,18.100000,17.059999,17.580000,156433200,17.580000
2010-06-30,18.170000,18.940001,16.940001,18.209999,178873400,18.209999
2010-05-28,18.410000,19.440001,16.730000,18.030001,313984700,18.030001
2010-04-30,17.580000,18.400000,17.250000,18.260000,175586000,18.260000
2010-03-31,16.230000,17.309999,16.100000,17.139999,204989400,17.139999
2010-02-26,16.020000,16.469999,14.370000,16.070000,256097200,16.070000
2010-01-29,17.049999,18.450001,15.700000,15.900000,264091500,15.900000
2009-12-31,18.510000,19.110001,16.450001,16.540001,290367400,16.540001
2009-11-30,16.180000,18.610001,16.000000,18.150000,264713400,18.150000
2009-10-30,16.389999,17.639999,15.780000,16.070000,223684500,16.070000
2009-09-30,14.570000,17.260000,14.450000,16.379999,246228300,16.379999
2009-08-31,14.170000,14.800000,13.330000,14.620000,159046200,14.620000
2009-07-31,13.580000,13.880000,12.270000,13.700000,153886300,13.700000
2009-06-30,15.590000,15.780000,13.270000,13.380000,238917000,13.380000
2009-05-29,12.140000,15.480000,12.100000,15.470000,176403500,15.470000
2009-04-30,12.920000,13.000000,11.640000,12.210000,144074400,12.210000
2009-03-31,12.980000,13.730000,11.750000,12.790000,267428400,12.790000
2009-02-27,12.280000,14.450000,12.020000,12.880000,273204500,12.880000
2009-01-30,11.070000,12.530000,10.200000,12.520000,169144500,12.520000
2008-12-31,9.270000,11.480000,9.020000,11.200000,108929000,11.200000
2008-11-28,9.710000,10.670000,8.690000,10.230000,81623600,10.230000
2008-10-31,12.160000,12.830000,8.450000,9.580000,173055600,9.580000
2008-09-30,12.460000,13.620000,10.150000,11.850000,215758400,11.850000
2008-08-29,17.260000,17.549999,12.610000,13.370000,142628900,13.370000
2008-07-31,177.229996,191.690002,16.629999,17.530001,310296400,17.530001
2008-06-30,164.940002,174.929993,161.350006,172.630005,133304000,17.263000
2008-05-30,162.750000,181.130005,158.400009,166.729996,173622000,16.673000
2008-04-30,164.880005,183.899994,161.709991,167.199997,214915000,16.719999
2008-03-31,202.180008,207.299988,165.139999,170.410004,344028000,17.041000
2008-02-29,170.289993,197.190002,161.100006,196.679993,161107000,19.667999
2008-01-31,148.559998,169.039993,148.559998,168.180008,156090000,16.818001
2007-12-31,139.449997,147.650009,135.880005,146.970001,62938000,14.697000
2007-11-30,140.190002,157.199997,137.000000,139.000000,150585000,13.900000
2007-10-31,136.099991,144.440002,129.680008,143.599991,86998000,14.360000
2007-09-28,120.190002,137.720001,119.650002,136.550003,81760000,13.655000
2007-08-31,128.660004,131.190002,110.000000,119.980003,93662000,11.998000
2007-07-31,124.960007,133.900009,123.500008,128.020004,68520000,12.802000
2007-06-29,135.110001,137.370010,120.870003,123.500008,102547000,12.350000
2007-05-31,131.879990,135.349991,126.180000,133.830002,85686000,13.383000
2007-04-30,131.000000,141.000000,129.209991,133.350006,94896000,13.335000
2007-03-30,141.300003,141.500000,123.559998,133.520004,120158000,13.352000
2007-02-28,136.990005,147.000000,131.479996,141.250000,80001000,14.125000
2007-01-31,129.960007,136.020004,120.050003,135.160004,79088000,13.516000
2006-12-29,139.350006,141.699997,122.589996,128.639999,107588000,12.864000
2006-11-30,124.900002,139.680008,122.889999,139.680008,87172000,13.968000
2006-10-31,116.300003,122.700005,105.410004,122.679993,69762000,12.268000
2006-09-29,128.250000,132.250000,104.610001,114.510002,97760000,11.451000
2006-08-31,114.139999,129.169998,113.999992,129.080002,70083000,12.908000
2006-07-31,113.190002,118.299995,104.700005,114.150002,65715000,11.415000
2006-06-30,118.250000,123.800003,95.489998,111.389999,131509000,11.139000
