Date,Open,High,Low,Close,Volume,Adj Close
2016-02-11,22.480000,32.090000,19.250000,28.139999,0,28.139999
2015-12-31,17.760000,53.290001,10.880000,18.209999,0,18.209999
2014-12-31,14.320000,31.059999,10.280000,19.200001,0,19.200001
2013-12-31,15.240000,21.910000,11.050000,13.720000,0,13.720000
2012-12-31,22.950001,27.730000,13.300000,18.020000,0,18.020000
2011-12-30,17.940001,48.000000,14.270000,23.400000,0,23.400000
2010-12-31,21.680000,48.200001,15.230000,17.750000,0,17.750000
2009-12-31,39.580002,57.360001,19.250000,21.680000,0,21.680000
2008-12-31,22.580000,89.529999,15.820000,40.000000,0,40.000000
2007-12-31,12.160000,37.500000,9.700000,22.500000,1988300,22.500000
2006-12-29,12.250000,23.809999,9.390000,11.560000,0,11.560000
2005-12-30,13.390000,18.590000,9.880000,12.070000,0,12.070000
2004-12-31,17.959999,22.670000,11.140000,13.290000,0,13.290000
2003-12-31,28.740000,35.660000,14.660000,18.309999,0,18.309999
2002-12-31,23.780001,48.459999,17.020000,28.620001,0,28.620001
2001-12-31,27.930000,49.349998,18.740000,23.799999,0,23.799999
2000-12-29,24.360001,34.310001,16.280001,26.850000,0,26.850000
1999-12-31,25.379999,33.660000,17.070000,24.639999,0,24.639999
1998-12-31,24.340000,49.529999,16.100000,24.420000,0,24.420000
1997-12-31,21.540001,48.639999,16.360001,24.010000,0,24.010000
1996-12-31,13.390000,27.049999,11.110000,20.920000,0,20.920000
1995-12-29,14.090000,16.990000,10.060000,12.520000,0,12.520000
1994-12-30,11.280000,28.299999,9.590000,13.200000,0,13.200000
1993-12-31,12.960000,18.309999,8.890000,11.660000,0,11.660000
1992-12-31,19.690001,25.129999,10.290000,12.570000,0,12.570000
1991-12-31,26.620001,36.200001,13.950000,19.309999,0,19.309999
1990-12-31,17.240000,36.470001,14.720000,26.379999,0,26.379999
